[2026-02-24 09:28:48] [INFO] Project root: C:/Users/asus/Desktop/TCGA-KIRC-Hallmark-Survival 
[2026-02-24 09:28:48] [INFO] force=FALSE use_pec_calibration=TRUE use_rms_calibration=TRUE run_train_test=TRUE 
[2026-02-24 09:28:48] [INFO] ---- STEP: 01_gdc ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 02_preprocess ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 03_vst_symbol ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 04_ssgsea ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 05_uni_cox ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 06_lasso_risk ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 07_deseq2_gsea ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:48] [INFO] ---- STEP: 08_eval_panels ---- 
[2026-02-24 09:28:48] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:49] [INFO] ---- STEP: 09_train_test ---- 
[2026-02-24 09:28:49] [INFO] Cache hit. Skipping build. 
[2026-02-24 09:28:49] [INFO] ✅ Pipeline finished successfully. 
